utc,temperature,moisture,risk
2026-02-08 00:05:35,18.1,0,27.00
2026-02-08 01:05:35,17.8,0,26.00
2026-02-08 02:05:35,18.3,0,27.67
2026-02-08 03:05:35,18.6,0,28.67
2026-02-08 04:05:35,19.2,0,30.67
2026-02-08 05:05:35,19.7,0,32.33
2026-02-08 06:05:35,20.4,0,34.67
2026-02-08 07:05:35,21.0,0,36.67
2026-02-08 08:05:35,21.9,0,39.67
2026-02-08 09:05:35,22.6,0,42.00
2026-02-08 10:05:35,23.1,0,43.67
2026-02-08 11:05:35,23.6,0,45.33
2026-02-08 12:05:35,24.0,0,46.67
2026-02-08 13:05:35,24.3,0,47.67
2026-02-08 14:05:35,23.9,0,46.33
2026-02-08 15:05:35,23.3,0,44.33
2026-02-08 16:05:35,22.8,0,42.67
2026-02-08 17:05:35,22.1,0,40.33
2026-02-08 18:05:35,21.4,0,38.00
2026-02-08 19:05:35,20.7,0,35.67
2026-02-08 20:05:35,20.1,0,33.67
2026-02-08 21:05:35,19.6,0,32.00
2026-02-08 22:05:35,19.1,0,30.33
2026-02-08 23:05:35,18.7,0,29.00
