utc,temperature,moisture,risk
2026-03-01 00:05:35,9.4,True,0.00
2026-03-01 01:05:35,9.0,True,0.00
2026-03-01 02:05:35,8.6,True,0.00
2026-03-01 03:05:35,8.1,True,0.00
2026-03-01 04:05:35,7.7,True,0.00
2026-03-01 05:05:35,7.5,True,0.00
2026-03-01 06:05:35,8.2,True,0.00
2026-03-01 07:05:35,9.4,True,0.00
2026-03-01 08:05:35,11.1,True,2.20
2026-03-01 09:05:35,13.4,True,6.80
2026-03-01 10:05:35,16.8,True,13.60
2026-03-01 11:05:35,20.2,False,34.00
2026-03-01 12:05:35,23.6,False,45.33
2026-03-01 13:05:35,27.1,False,56.99
2026-03-01 14:05:35,31.0,False,70.00
2026-03-01 15:05:35,35.8,False,86.00
2026-03-01 16:05:35,39.9,False,99.67
2026-03-01 17:05:35,42.5,False,100.00
2026-03-01 18:05:35,40.3,False,100.00
2026-03-01 19:05:35,36.7,False,89.00
2026-03-01 20:05:35,32.8,False,76.00
2026-03-01 21:05:35,29.4,True,38.80
2026-03-01 22:05:35,26.7,True,33.40
2026-03-01 23:05:35,24.1,True,28.20
2026-03-02 00:05:35,22.0,True,24.00
2026-03-02 01:05:35,20.5,True,21.00
2026-03-02 02:05:35,19.1,True,18.20
2026-03-02 03:05:35,17.6,True,15.20
2026-03-02 04:05:35,15.9,True,11.80
2026-03-02 05:05:35,14.3,True,8.60
2026-03-02 06:05:35,13.1,True,6.20
2026-03-02 07:05:35,12.4,True,4.80
2026-03-02 08:05:35,12.0,True,4.00
2026-03-02 09:05:35,13.8,True,7.60
2026-03-02 10:05:35,17.0,True,14.00
2026-03-02 11:05:35,21.2,False,37.33
2026-03-02 12:05:35,26.5,False,55.00
2026-03-02 13:05:35,32.1,False,73.67
2026-03-02 14:05:35,36.9,False,89.67
2026-03-02 15:05:35,41.3,False,100.00
2026-03-02 16:05:35,44.0,False,100.00
2026-03-02 17:05:35,41.6,False,100.00
2026-03-02 18:05:35,36.8,False,89.33
2026-03-02 19:05:35,31.5,False,71.67
2026-03-02 20:05:35,26.0,True,32.00
2026-03-02 21:05:35,22.4,True,24.80
2026-03-02 22:05:35,19.8,True,19.60
2026-03-02 23:05:35,17.2,True,14.40
2026-03-03 00:05:35,14.7,True,9.40
2026-03-03 01:05:35,12.8,True,5.60
2026-03-03 02:05:35,11.2,True,2.40
2026-03-03 03:05:35,9.7,True,0.00
2026-03-03 04:05:35,8.4,True,0.00
2026-03-03 05:05:35,7.6,True,0.00
2026-03-03 06:05:35,7.9,True,0.00
2026-03-03 07:05:35,9.3,True,0.00
2026-03-03 08:05:35,11.6,True,3.20
2026-03-03 09:05:35,14.8,True,9.60
2026-03-03 10:05:35,19.5,False,31.67
2026-03-03 11:05:35,24.6,False,48.67
2026-03-03 12:05:35,30.8,False,69.33
2026-03-03 13:05:35,35.9,False,86.33
2026-03-03 14:05:35,40.7,False,100.00
2026-03-03 15:05:35,43.8,False,100.00
2026-03-03 16:05:35,41.2,False,100.00
2026-03-03 17:05:35,36.1,False,87.00
2026-03-03 18:05:35,30.0,False,66.67
2026-03-03 19:05:35,24.5,True,29.00
2026-03-03 20:05:35,20.3,True,20.60
2026-03-03 21:05:35,17.4,True,14.80
2026-03-03 22:05:35,14.9,True,9.80
2026-03-03 23:05:35,12.7,True,5.40
